Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
109,Torrey Craig\craigto01,SF,30,PHO,14,0,223,35,65,.538,12,29,.414,23,36,.639,.631,5,8,.625,14,44,58,13,11,5,7,24,87
110,Jae Crowder\crowdja01,PF,30,PHO,51,36,1419,172,420,.410,125,321,.389,47,99,.475,.558,51,65,.785,24,225,249,109,42,20,48,98,520
111,Jarrett Culver\culveja01,SG,21,MIN,32,7,491,68,165,.412,13,51,.255,55,114,.482,.452,29,48,.604,34,70,104,22,17,9,28,57,178
112,Seth Curry\curryse01,SG,30,PHI,43,43,1246,190,426,.446,85,207,.411,105,219,.479,.546,59,66,.894,8,84,92,124,34,8,54,74,524
113,Stephen Curry\curryst01,PG,32,GSW,46,46,1563,459,946,.485,224,538,.416,235,408,.576,.604,257,278,.924,24,231,255,272,60,4,148,82,1399
114,Nate Darling\darlina01,SG,22,CHO,6,0,24,2,7,.286,2,7,.286,0,0,,.429,3,3,1.000,1,0,1,1,0,1,1,1,9
115,Anthony Davis\davisan02,PF,27,LAL,23,23,755,204,383,.533,17,58,.293,187,325,.575,.555,93,130,.715,47,146,193,70,31,41,45,42,518
116,Ed Davis\davised01,C,31,MIN,20,7,275,18,43,.419,0,0,,18,43,.419,.419,9,10,.900,45,62,107,20,12,12,6,50,45
117,Terence Davis\daviste02,SG,23,TOT,43,4,660,112,277,.404,58,168,.345,54,109,.495,.509,22,27,.815,12,75,87,48,25,10,39,61,304
117,Terence Davis\daviste02,SG,23,TOR,34,4,493,87,210,.414,44,122,.361,43,88,.489,.519,16,18,.889,9,57,66,37,17,7,29,48,234
117,Terence Davis\daviste02,SG,23,SAC,9,0,167,25,67,.373,14,46,.304,11,21,.524,.478,6,9,.667,3,18,21,11,8,3,10,13,70
118,Matthew Dellavedova\dellama01,PG,30,CLE,6,1,121,8,32,.250,2,14,.143,6,18,.333,.281,2,2,1.000,5,10,15,32,2,0,4,8,20
119,DeMar DeRozan\derozde01,PF,31,SAS,45,45,1522,329,663,.496,18,63,.286,311,600,.518,.510,276,313,.882,30,164,194,319,41,11,86,88,952
120,Mamadi Diakite\diakima01,PF,24,MIL,9,0,85,10,24,.417,1,6,.167,9,18,.500,.438,6,6,1.000,6,18,24,5,2,4,2,9,27
