,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
87,70,Dillon Brooks\brookdi01,SF,25,MEM,49,49,29.5,6.2,15.1,0.41,1.9,5.6,0.342,4.3,9.5,0.45,0.473,2.2,2.6,0.828,0.8,2.1,2.9,2.4,1.2,0.4,1.8,3.4,16.4
88,71,Bruce Brown\brownbr01,PG,24,BRK,50,31,22.0,3.4,6.4,0.534,0.2,0.9,0.244,3.2,5.5,0.581,0.551,1.3,1.7,0.75,1.6,3.2,4.9,1.6,0.9,0.4,0.9,2.2,8.4
89,72,Jaylen Brown\brownja02,SG,24,BOS,51,51,34.2,9.1,18.8,0.486,2.7,6.9,0.397,6.4,11.9,0.537,0.558,3.3,4.3,0.751,1.2,4.5,5.7,3.5,1.2,0.6,2.7,2.9,24.3
90,73,Moses Brown\brownmo01,C,21,OKC,25,14,20.6,3.3,5.9,0.554,0.0,0.0,,3.3,5.9,0.554,0.554,2.1,3.4,0.616,3.2,5.4,8.6,0.2,0.6,1.1,0.9,2.0,8.7
91,74,Sterling Brown\brownst02,SG,25,HOU,51,14,24.1,2.9,6.6,0.448,1.8,4.2,0.423,1.2,2.4,0.492,0.584,0.5,0.6,0.806,0.7,3.6,4.4,1.4,0.7,0.2,0.8,1.9,8.2
92,75,Troy Brown Jr.\browntr01,SF,21,TOT,30,0,15.1,1.7,4.3,0.4,0.7,2.2,0.318,1.0,2.1,0.484,0.481,0.5,0.7,0.7,0.6,2.5,3.1,0.9,0.3,0.2,0.6,1.5,4.6
93,75,Troy Brown Jr.\browntr01,SF,21,WAS,21,0,13.7,1.6,4.2,0.371,0.7,2.2,0.304,0.9,2.0,0.442,0.449,0.5,0.7,0.667,0.5,2.4,2.9,0.9,0.1,0.2,0.8,1.4,4.3
94,75,Troy Brown Jr.\browntr01,SF,21,CHI,9,0,18.4,2.1,4.6,0.463,0.8,2.2,0.35,1.3,2.3,0.571,0.549,0.4,0.6,0.8,0.8,2.9,3.7,1.0,0.6,0.2,0.3,1.8,5.4
95,76,Jalen Brunson\brunsja01,PG,24,DAL,49,11,25.6,4.8,9.2,0.523,1.2,3.1,0.392,3.6,6.1,0.591,0.59,2.0,2.5,0.789,0.4,3.2,3.6,3.3,0.5,0.0,1.3,1.7,12.8
96,77,Thomas Bryant\bryanth01,C,23,WAS,10,10,27.1,5.9,9.1,0.648,0.9,2.1,0.429,5.0,7.0,0.714,0.698,1.6,2.4,0.667,1.8,4.3,6.1,1.5,0.4,0.8,1.1,3.1,14.3
97,78,Reggie Bullock\bullore01,SF,29,NYK,48,47,27.7,3.4,8.1,0.424,2.2,5.6,0.394,1.2,2.5,0.492,0.56,0.6,0.7,0.886,0.2,3.1,3.3,1.4,0.8,0.2,0.7,2.2,9.7
98,79,Trey Burke\burketr01,PG,28,DAL,49,0,14.3,2.4,5.4,0.444,1.0,2.7,0.362,1.4,2.8,0.522,0.532,0.7,0.8,0.85,0.1,0.8,0.9,1.3,0.6,0.1,0.5,1.0,6.5
99,80,Alec Burks\burksal01,SG,29,NYK,43,5,25.9,4.1,10.0,0.41,2.0,4.9,0.403,2.1,5.1,0.416,0.508,2.2,2.5,0.861,0.4,4.0,4.4,2.2,0.7,0.3,1.0,2.1,12.4
100,81,Jimmy Butler\butleji01,SF,31,MIA,39,39,33.8,7.1,14.4,0.494,0.5,2.1,0.238,6.6,12.4,0.536,0.511,6.7,7.8,0.853,1.9,5.3,7.2,7.2,2.1,0.4,2.2,1.4,21.4
101,82,Bruno Caboclo\cabocbr01,PF,25,HOU,6,0,6.0,1.3,2.8,0.471,0.0,0.8,0.0,1.3,2.0,0.667,0.471,0.2,0.3,0.5,0.5,1.8,2.3,0.2,0.0,0.3,0.7,1.0,2.8
102,83,Devontae Cacok\cacokde01,PF,24,LAL,15,1,5.1,1.1,1.7,0.64,0.0,0.0,,1.1,1.7,0.64,0.64,0.2,0.5,0.429,0.7,1.2,1.9,0.1,0.3,0.3,0.3,0.5,2.3
103,84,Kentavious Caldwell-Pope\caldwke01,SG,27,LAL,51,51,27.1,3.1,7.2,0.429,1.6,4.0,0.416,1.4,3.2,0.445,0.544,1.2,1.5,0.851,0.5,2.2,2.7,1.6,0.7,0.3,1.1,1.6,9.0
104,85,Facundo Campazzo\campafa01,PG,29,DEN,48,4,18.7,1.6,4.1,0.385,1.1,2.8,0.378,0.5,1.3,0.4,0.515,0.9,1.0,0.837,0.3,1.3,1.5,2.8,1.0,0.2,1.0,2.0,5.0
105,86,Vlatko Čančar\cancavl01,PF,23,DEN,28,0,5.6,0.5,1.3,0.417,0.2,0.7,0.263,0.4,0.6,0.588,0.486,0.2,0.2,0.833,0.2,0.9,1.0,0.3,0.3,0.1,0.4,0.5,1.4
106,87,Devin Cannady\cannade01,PG,24,ORL,3,0,4.3,1.0,2.3,0.429,0.7,1.7,0.4,0.3,0.7,0.5,0.571,2.0,2.3,0.857,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.7,4.7
107,88,Clint Capela\capelca01,C,26,ATL,48,48,30.1,6.6,11.0,0.6,0.0,0.0,,6.6,11.0,0.6,0.6,2.1,3.6,0.593,4.7,9.6,14.2,0.9,0.7,2.2,1.3,2.3,15.4
108,89,Vernon Carey Jr.\careyve01,C,19,CHO,10,0,3.3,0.3,0.8,0.375,0.0,0.4,0.0,0.3,0.4,0.75,0.375,0.2,0.3,0.667,0.2,0.8,1.0,0.1,0.0,0.2,0.3,0.2,0.8
